Departure,Return,Departure_station_id,Departure_station_name,Return_station_id,Return_station_name,Covered_distance_m,Duration_sec
2021-07-31T23:55:37,2021-08-01T00:03:57,116,Linnanmäki,121,Vilhonvuorenkatu,1774,497
2021-07-31T23:55:35,2021-08-01T00:18:44,258,Abraham Wetterin tie,202,Merihaka,5636,1387
2021-07-31T23:55:30,2021-08-01T00:17:56,259,Petter Wetterin tie,242,Von Daehnin katu,6264,1345
2021-07-31T23:55:29,2021-08-01T00:14:49,039,Ooppera,011,Unioninkatu,2683,1155
2021-07-31T23:55:08,2021-08-01T00:16:18,258,Abraham Wetterin tie,274,Voikukantie,4143,1265
2021-07-31T23:55:01,2021-08-01T00:15:11,258,Abraham Wetterin tie,274,Voikukantie,4231,1205
2021-07-31T23:54:55,2021-07-31T23:55:13,258,Abraham Wetterin tie,258,Abraham Wetterin tie,0,12
2021-07-31T23:54:47,2021-08-01T00:04:43,134,Haukilahdenkatu,202,Merihaka,2511,592
2021-07-31T23:54:47,2021-08-01T00:03:42,068,Albertinkatu,030,Itämerentori,1586,532
2021-07-31T23:54:31,2021-08-01T00:05:16,291,Itäkeskus Metrovarikko,262,Siilitie (M),1944,649
2021-07-31T23:54:24,2021-08-01T00:03:33,068,Albertinkatu,030,Itämerentori,1605,547
2021-07-31T23:54:23,2021-08-01T00:03:15,141,Intiankatu,137,Arabian kauppakeskus,857,532
2021-07-31T23:54:20,2021-08-01T00:19:40,214,Valimon asema,087,Kustaankatu,6187,1517
2021-07-31T23:53:56,2021-08-01T00:00:00,121,Vilhonvuorenkatu,124,Isoisänsilta,1127,360
2021-07-31T23:53:54,2021-08-01T00:19:50,214,Valimon asema,119,Gebhardinaukio,6313,1552
2021-07-31T23:53:48,2021-07-31T23:57:16,080,Jäähalli,076,Olympiastadion,637,203
2021-07-31T23:53:34,2021-08-01T00:02:27,126,Kalasatama (M),134,Haukilahdenkatu,1457,529
2021-07-31T23:53:31,2021-08-01T00:26:15,085,Jalavatie,078,Messeniuksenkatu,1004,1959
2021-07-31T23:53:25,2021-08-01T00:10:48,281,Puotila (M),286,Mamsellimyllynkatu,2958,1038
2021-07-31T23:53:19,2021-08-01T00:03:05,116,Linnanmäki,042,Haapaniemenkatu,1962,582
2021-07-31T23:53:18,2021-08-01T13:09:54,099,Muusantori,719,Säteri,3308,872
2021-07-31T23:53:17,2021-08-01T00:04:09,116,Linnanmäki,042,Haapaniemenkatu,1990,648
2021-07-31T23:53:15,2021-07-31T23:54:04,214,Valimon asema,214,Valimon asema,0,45
2021-07-31T23:53:14,2021-08-01T00:04:11,078,Messeniuksenkatu,106,Korppaanmäentie,2144,653
2021-07-31T23:53:03,2021-08-01T00:00:46,017,Varsapuistikko,041,Ympyrätalo,1029,460
2021-07-31T23:53:02,2021-08-01T00:00:32,019,Rautatientori / itä,064,Tyynenmerenkatu,2788,451
2021-07-31T23:52:59,2021-08-01T00:10:33,075,Korjaamo,162,Leppäsuonaukio,2329,1049
2021-07-31T23:52:59,2021-08-01T00:15:02,101,Munkkivuoren ostoskeskus,073,Kesäkatu,3589,1319
2021-07-31T23:52:57,2021-08-01T00:06:14,264,Eränkävijäntori,244,Relanderinaukio,3063,792
2021-07-31T23:52:55,2021-08-01T00:14:53,101,Munkkivuoren ostoskeskus,073,Kesäkatu,3632,1314
2021-07-31T23:52:33,2021-08-01T00:05:14,293,Korkeasaari,202,Merihaka,1854,760
2021-07-31T23:52:33,2021-08-01T00:05:48,293,Korkeasaari,202,Merihaka,1737,791
2021-07-31T23:52:32,2021-08-01T00:20:38,141,Intiankatu,116,Linnanmäki,3081,1681
2021-07-31T23:52:25,2021-08-01T00:10:05,040,Hakaniemi (M),404,Sompasaari,1790,1055
2021-07-31T23:52:15,2021-08-01T00:18:12,211,Haagan tori,137,Arabian kauppakeskus,5207,1552
2021-07-31T23:52:12,2021-07-31T23:56:56,118,Fleminginkatu,115,Venttiilikuja,815,284
2021-07-31T23:52:09,2021-08-01T00:02:57,094,Laajalahden aukio,100,Teljäntie,1627,643
2021-07-31T23:51:49,2021-08-01T01:01:45,085,Jalavatie,078,Messeniuksenkatu,933,283
2021-07-31T23:51:40,2021-08-01T00:08:17,404,Sompasaari,011,Unioninkatu,3675,993
2021-07-31T23:51:37,2021-07-31T23:56:24,026,Kamppi (M),035,Cygnaeuksenkatu,1117,286
2021-07-31T23:51:31,2021-07-31T23:58:22,029,Baana,004,Viiskulma,1600,410
2021-07-31T23:51:19,2021-08-01T00:18:18,387,Kauppakeskus Kaari,727,Ratsutori,5807,1615
2021-07-31T23:51:14,2021-08-01T00:00:46,129,Pernajantie,115,Venttiilikuja,1553,568
2021-07-31T23:51:08,2021-08-01T00:06:13,325,Mellunmäki (M),283,Alakiventie,3389,900
2021-07-31T23:51:08,2021-08-01T00:18:44,387,Kauppakeskus Kaari,711,Kirjurinkuja,5868,1653
2021-07-31T23:51:02,2021-08-01T00:04:07,012,Kanavaranta,026,Kamppi (M),2191,780
2021-07-31T23:50:50,2021-08-01T00:04:39,265,Siilitie 9,259,Petter Wetterin tie,2985,824
2021-07-31T23:50:46,2021-08-01T00:13:52,142,Koskelantie,240,Viikin normaalikoulu,5650,1384
2021-07-31T23:50:40,2021-08-01T00:20:41,141,Intiankatu,116,Linnanmäki,3161,1797
2021-07-31T23:50:38,2021-07-31T23:54:23,292,Koskelan varikko,139,Muotoilijankatu,667,222
2021-07-31T23:50:36,2021-08-01T00:04:22,012,Kanavaranta,026,Kamppi (M),2166,821
2021-07-31T23:50:33,2021-07-31T23:52:31,141,Intiankatu,141,Intiankatu,1,117
2021-07-31T23:50:31,2021-07-31T23:50:59,387,Kauppakeskus Kaari,387,Kauppakeskus Kaari,0,24
2021-07-31T23:50:25,2021-07-31T23:59:42,117,Brahen puistikko,142,Koskelantie,2539,557
2021-07-31T23:50:22,2021-08-01T00:04:44,262,Siilitie (M),240,Viikin normaalikoulu,3091,858
2021-07-31T23:50:21,2021-08-01T00:18:37,387,Kauppakeskus Kaari,711,Kirjurinkuja,6110,1695
2021-07-31T23:50:11,2021-07-31T23:50:50,134,Haukilahdenkatu,134,Haukilahdenkatu,6,34
2021-07-31T23:50:11,2021-07-31T23:50:48,134,Haukilahdenkatu,134,Haukilahdenkatu,0,33
2021-07-31T23:50:01,2021-08-01T00:10:54,403,Verkkosaari,013,Merisotilaantori,4633,1248
2021-07-31T23:49:47,2021-08-01T00:03:18,026,Kamppi (M),046,Diakoniapuisto,2685,806
2021-07-31T23:49:36,2021-08-01T00:01:32,057,Lauttasaaren ostoskeskus,050,Melkonkuja,1368,711
2021-07-31T23:49:26,2021-07-31T23:56:39,281,Puotila (M),274,Voikukantie,1119,428
2021-07-31T23:49:24,2021-08-01T00:16:52,543,Otaranta,209,Takomotie,7567,1644
2021-07-31T23:49:21,2021-08-01T00:32:33,126,Kalasatama (M),404,Sompasaari,565,166
2021-07-31T23:49:19,2021-08-01T00:08:39,069,Kalevankatu,069,Kalevankatu,2,1155
2021-07-31T23:49:18,2021-08-01T00:01:13,218,Pohjois-Haagan asema,391,Tollinpolku,2650,709
2021-07-31T23:49:10,2021-08-01T00:16:59,543,Otaranta,209,Takomotie,7377,1665
2021-07-31T23:49:08,2021-07-31T23:54:57,581,Niittykumpu (M),647,Lystimäki,1159,343
2021-07-31T23:48:53,2021-07-31T23:55:24,387,Kauppakeskus Kaari,221,Thalianaukio,1372,387
2021-07-31T23:48:51,2021-07-31T23:55:12,162,Leppäsuonaukio,067,Perämiehenkatu,1931,376
2021-07-31T23:48:50,2021-07-31T23:59:26,737,Muurarinkuja,754,Lintumetsä,2252,640
2021-07-31T23:48:48,2021-08-01T00:00:18,041,Ympyrätalo,125,Arielinkatu,2403,686
2021-07-31T23:48:41,2021-08-01T00:01:05,041,Ympyrätalo,010,Kasarmitori,1872,739
2021-07-31T23:48:39,2021-08-01T00:05:23,009,Erottajan aukio,068,Albertinkatu,932,378
2021-07-31T23:48:36,2021-07-31T23:57:59,062,Välimerenkatu,024,Mannerheimintie,1909,564
2021-07-31T23:48:36,2021-08-01T00:01:25,118,Fleminginkatu,135,Velodrominrinne,2005,759
2021-07-31T23:48:36,2021-08-01T00:01:46,122,Lintulahdenkatu,137,Arabian kauppakeskus,2915,786
2021-07-31T23:48:15,2021-08-01T00:00:29,597,Linnakepolku,561,Koivu-Mankkaa,2525,733
2021-07-31T23:48:07,2021-07-31T23:55:58,099,Muusantori,101,Munkkivuoren ostoskeskus,1660,467
2021-07-31T23:48:06,2021-07-31T23:59:45,279,Puotinkylän kartano,272,Marjaniementie,2174,694
2021-07-31T23:48:01,2021-08-01T00:06:29,106,Korppaanmäentie,036,Apollonkatu,3381,1105
2021-07-31T23:48:01,2021-08-01T00:06:29,547,Jämeräntaival,096,Huopalahdentie,5041,1103
2021-07-31T23:47:56,2021-08-01T00:16:41,063,Jätkäsaarenlaituri,063,Jätkäsaarenlaituri,5245,1721
2021-07-31T23:47:55,2021-08-01T00:05:12,065,Hernesaarenranta,031,Marian sairaala,2448,1032
2021-07-31T23:47:43,2021-08-01T00:28:41,011,Unioninkatu,597,Linnakepolku,10191,2457
2021-07-31T23:47:43,2021-08-01T00:02:43,024,Mannerheimintie,071,Hietaniemenkatu,2726,896
2021-07-31T23:47:37,2021-07-31T23:49:30,008,Vanha kirkkopuisto,049,Annankatu,255,106
2021-07-31T23:47:37,2021-08-01T00:05:09,065,Hernesaarenranta,031,Marian sairaala,2464,1047
2021-07-31T23:47:23,2021-08-01T00:01:41,259,Petter Wetterin tie,249,Isosaarentie,2719,855
2021-07-31T23:46:50,2021-08-01T00:02:39,245,Kulosaari (M),257,Margareetankuja,2039,943
2021-07-31T23:46:35,2021-07-31T23:50:46,123,Näkinsilta,122,Lintulahdenkatu,608,247
2021-07-31T23:46:35,2021-07-31T23:55:25,087,Kustaankatu,116,Linnanmäki,1208,526
2021-07-31T23:46:29,2021-08-01T00:07:30,358,Syystie,362,Teerisuontie,2658,1259
2021-07-31T23:46:27,2021-07-31T23:54:11,008,Vanha kirkkopuisto,012,Kanavaranta,1200,458
2021-07-31T23:46:18,2021-08-01T00:00:12,026,Kamppi (M),049,Annankatu,974,829
2021-07-31T23:46:10,2021-07-31T23:48:48,032,Eläinmuseo,019,Rautatientori / itä,765,156
2021-07-31T23:45:51,2021-07-31T23:54:11,116,Linnanmäki,132,Hollolantie,1327,496
2021-07-31T23:45:49,2021-07-31T23:48:27,087,Kustaankatu,043,Karhupuisto,737,154
2021-07-31T23:45:46,2021-07-31T23:56:23,577,Olarinluoma,515,Oravannahkatori,3181,633
2021-07-31T23:45:45,2021-07-31T23:53:24,388,Kaustisentie,218,Pohjois-Haagan asema,1609,455
2021-07-31T23:45:36,2021-07-31T23:53:22,135,Velodrominrinne,113,Pasilan asema,863,461
2021-07-31T23:45:33,2021-07-31T23:57:39,641,Komeetankatu,583,Haukilahdensolmu,2405,721
2021-07-31T23:45:31,2021-08-01T00:07:11,040,Hakaniemi (M),029,Baana,3177,1295
2021-07-31T23:45:29,2021-08-01T00:00:05,040,Hakaniemi (M),070,Sammonpuistikko,2493,872
2021-07-31T23:45:28,2021-08-01T13:01:12,305,Kalkkihiekantie,305,Kalkkihiekantie,175,47735
2021-07-31T23:45:24,2021-08-01T00:02:33,012,Kanavaranta,062,Välimerenkatu,2848,1025
2021-07-31T23:45:21,2021-07-31T23:59:57,040,Hakaniemi (M),070,Sammonpuistikko,2613,872
2021-07-31T23:45:14,2021-08-01T00:12:34,040,Hakaniemi (M),054,Gyldenintie,5776,1635
2021-07-31T23:45:10,2021-07-31T23:52:52,019,Rautatientori / itä,162,Leppäsuonaukio,1186,458
2021-07-31T23:45:09,2021-08-01T00:13:45,065,Hernesaarenranta,078,Messeniuksenkatu,4494,1711
2021-07-31T23:45:07,2021-07-31T23:54:08,332,Kontulankaari,338,Jakomäentie,2104,541
2021-07-31T23:44:43,2021-07-31T23:54:19,313,Rastila (M),281,Puotila (M),2495,571
2021-07-31T23:44:42,2021-07-31T23:48:57,115,Venttiilikuja,118,Fleminginkatu,778,250
2021-07-31T23:44:36,2021-07-31T23:58:50,045,Brahen kenttä,078,Messeniuksenkatu,2287,850
2021-07-31T23:44:33,2021-08-01T00:08:29,135,Velodrominrinne,403,Verkkosaari,3483,1431
2021-07-31T23:44:32,2021-07-31T23:55:41,583,Haukilahdensolmu,577,Olarinluoma,2093,665
2021-07-31T23:44:27,2021-08-01T00:02:34,135,Velodrominrinne,134,Haukilahdenkatu,2088,1082
2021-07-31T23:44:24,2021-07-31T23:48:31,017,Varsapuistikko,022,Rautatientori / länsi,682,242
2021-07-31T23:44:14,2021-08-01T00:04:38,149,Toinen linja,116,Linnanmäki,1907,1220
2021-07-31T23:44:10,2021-07-31T23:54:02,094,Laajalahden aukio,101,Munkkivuoren ostoskeskus,1423,587
2021-07-31T23:44:02,2021-08-01T00:12:27,024,Mannerheimintie,138,Arabiankatu,6784,1704
2021-07-31T23:44:02,2021-07-31T23:57:30,045,Brahen kenttä,078,Messeniuksenkatu,2295,804
2021-07-31T23:43:55,2021-08-01T00:04:18,146,Pohjolanaukio,121,Vilhonvuorenkatu,4657,1221
2021-07-31T23:43:50,2021-07-31T23:51:03,344,Puistolan asema,347,Sateenkaarentie,1711,429
2021-07-31T23:43:41,2021-08-01T00:04:22,016,Liisanpuistikko,088,Kiskontie,5276,1237
2021-07-31T23:43:20,2021-07-31T23:55:31,008,Vanha kirkkopuisto,048,Mastokatu,1813,724
2021-07-31T23:43:19,2021-07-31T23:46:33,133,Paavalinpuisto,128,Päijänteentie,628,189
2021-07-31T23:43:15,2021-08-01T00:00:26,054,Gyldenintie,023,Kiasma,4008,1026
2021-07-31T23:43:13,2021-08-01T00:07:30,069,Kalevankatu,009,Erottajan aukio,3834,1452
2021-07-31T23:43:08,2021-08-01T00:04:40,150,Töölönlahden puisto,113,Pasilan asema,3528,1290
2021-07-31T23:43:01,2021-08-01T00:02:22,113,Pasilan asema,212,Tunnelitie,3532,1157
2021-07-31T23:42:45,2021-07-31T23:55:31,008,Vanha kirkkopuisto,048,Mastokatu,1717,760
2021-07-31T23:42:41,2021-07-31T23:43:04,583,Haukilahdensolmu,583,Haukilahdensolmu,0,19
2021-07-31T23:42:33,2021-07-31T23:43:31,344,Puistolan asema,344,Puistolan asema,12,54
2021-07-31T23:42:32,2021-07-31T23:42:41,150,Töölönlahden puisto,150,Töölönlahden puisto,0,8
2021-07-31T23:42:32,2021-08-01T00:08:12,069,Kalevankatu,404,Sompasaari,4694,1536
2021-07-31T23:42:22,2021-08-01T00:06:26,150,Töölönlahden puisto,113,Pasilan asema,3355,1438
2021-07-31T23:42:21,2021-07-31T23:53:29,059,Salmisaarenranta,071,Hietaniemenkatu,2356,663
2021-07-31T23:42:08,2021-08-01T00:07:28,150,Töölönlahden puisto,005,Sepänkatu,4277,1520
2021-07-31T23:42:02,2021-07-31T23:48:08,040,Hakaniemi (M),022,Rautatientori / länsi,1366,361
2021-07-31T23:41:57,2021-07-31T23:52:12,573,Urheilupuisto (M),649,Lystimäensilta,1772,610
2021-07-31T23:41:47,2021-07-31T23:46:58,402,Bermudankuja,062,Välimerenkatu,667,309
2021-07-31T23:41:47,2021-07-31T23:57:35,386,Kannelmäen liikuntapuisto,222,Huovitie,3081,944
2021-07-31T23:41:38,2021-07-31T23:41:51,150,Töölönlahden puisto,150,Töölönlahden puisto,0,12
2021-07-31T23:41:38,2021-07-31T23:51:47,260,Herttoniemi (M),264,Eränkävijäntori,1278,605
2021-07-31T23:41:37,2021-07-31T23:49:25,086,Kuusitie,211,Haagan tori,1968,464
2021-07-31T23:41:31,2021-07-31T23:50:26,012,Kanavaranta,008,Vanha kirkkopuisto,1217,532
2021-07-31T23:41:28,2021-08-01T00:18:48,280,Puotilan ostoskeskus,138,Arabiankatu,10540,2237
2021-07-31T23:41:09,2021-07-31T23:41:38,150,Töölönlahden puisto,150,Töölönlahden puisto,0,25
2021-07-31T23:40:58,2021-07-31T23:51:47,045,Brahen kenttä,042,Haapaniemenkatu,1096,644
2021-07-31T23:40:52,2021-07-31T23:51:22,012,Kanavaranta,025,Narinkka,1631,626
2021-07-31T23:40:49,2021-07-31T23:44:39,367,Karhusuontie,368,Pukinmäen liikuntapuisto,577,226
2021-07-31T23:40:47,2021-08-01T00:00:54,571,Tapiolan urheilupuisto,631,Friisilänaukio,4310,1202
2021-07-31T23:40:43,2021-07-31T23:55:34,262,Siilitie (M),240,Viikin normaalikoulu,3257,890
2021-07-31T23:40:42,2021-07-31T23:59:09,393,Malminkartanon asema,392,Viljelijäntie,789,1105
2021-07-31T23:40:42,2021-07-31T23:52:38,276,Puotinharju,270,Tulisuontie,2064,712
2021-07-31T23:40:41,2021-07-31T23:54:06,113,Pasilan asema,133,Paavalinpuisto,1954,801
2021-07-31T23:40:39,2021-07-31T23:45:10,076,Olympiastadion,039,Ooppera,420,267
2021-07-31T23:40:27,2021-07-31T23:50:58,012,Kanavaranta,008,Vanha kirkkopuisto,1233,628
2021-07-31T23:40:26,2021-07-31T23:53:04,353,Helluntairaitti,339,Alppikylä,2164,753
2021-07-31T23:40:23,2021-07-31T23:56:20,129,Pernajantie,086,Kuusitie,3827,955
2021-07-31T23:40:08,2021-07-31T23:47:53,308,Mosaiikkitori,317,Haapasaarentie,1681,464
2021-07-31T23:40:02,2021-07-31T23:55:23,001,Kaivopuisto,023,Kiasma,2082,916
2021-07-31T23:39:55,2021-07-31T23:43:28,360,Malmin asema,361,Huhtakuja,708,208
2021-07-31T23:39:51,2021-08-01T00:00:29,127,Teurastamo,019,Rautatientori / itä,3455,1232
2021-07-31T23:39:48,2021-07-31T23:56:48,122,Lintulahdenkatu,004,Viiskulma,3698,1016
2021-07-31T23:39:47,2021-07-31T23:51:01,012,Kanavaranta,008,Vanha kirkkopuisto,1225,672
2021-07-31T23:39:43,2021-07-31T23:52:52,369,Pukinmäen asema,237,Aulangontie,2044,784
2021-07-31T23:39:38,2021-07-31T23:53:32,353,Helluntairaitti,339,Alppikylä,2070,829
2021-07-31T23:39:37,2021-07-31T23:46:47,101,Munkkivuoren ostoskeskus,101,Munkkivuoren ostoskeskus,1335,426
2021-07-31T23:39:36,2021-07-31T23:54:35,012,Kanavaranta,008,Vanha kirkkopuisto,1265,897
2021-07-31T23:39:33,2021-07-31T23:50:08,259,Petter Wetterin tie,270,Tulisuontie,2272,631
2021-07-31T23:39:32,2021-07-31T23:50:09,012,Kanavaranta,008,Vanha kirkkopuisto,1272,640
2021-07-31T23:39:16,2021-07-31T23:51:01,012,Kanavaranta,008,Vanha kirkkopuisto,1255,701
2021-07-31T23:39:15,2021-07-31T23:39:46,129,Pernajantie,129,Pernajantie,12,26
2021-07-31T23:39:11,2021-07-31T23:51:34,012,Kanavaranta,008,Vanha kirkkopuisto,1251,739
2021-07-31T23:39:11,2021-07-31T23:53:48,278,Puotilantie,319,Purjetie,2983,872
2021-07-31T23:38:53,2021-08-01T00:02:06,260,Herttoniemi (M),248,Gunillantie,3957,1389
2021-07-31T23:38:49,2021-07-31T23:42:22,123,Näkinsilta,041,Ympyrätalo,475,209
2021-07-31T23:38:37,2021-07-31T23:59:26,111,Esterinportti,228,Kustaankartano,4447,1244
2021-07-31T23:38:21,2021-07-31T23:50:37,084,Paciuksenkatu,100,Teljäntie,3018,724
2021-07-31T23:38:03,2021-07-31T23:38:26,260,Herttoniemi (M),260,Herttoniemi (M),0,18
2021-07-31T23:37:56,2021-07-31T23:54:23,374,Etupellonpuisto,358,Syystie,3671,982
2021-07-31T23:37:44,2021-07-31T23:44:37,555,Kalevalantie,519,Tapionaukio,1143,409
2021-07-31T23:37:40,2021-07-31T23:41:59,162,Leppäsuonaukio,069,Kalevankatu,612,254
2021-07-31T23:37:27,2021-08-01T00:06:55,208,Valimotie,103,Vihdintie,2581,1764
2021-07-31T23:37:23,2021-07-31T23:43:51,133,Paavalinpuisto,136,Sofianlehdonkatu,1184,384
2021-07-31T23:37:15,2021-07-31T23:51:07,545,Sähkömies,518,Tuulimäki,2630,829
2021-07-31T23:37:14,2021-08-01T00:01:30,120,Mäkelänkatu,078,Messeniuksenkatu,3180,838
2021-07-31T23:37:13,2021-07-31T23:44:35,127,Teurastamo,134,Haukilahdenkatu,1204,436
2021-07-31T23:37:12,2021-07-31T23:44:52,002,Laivasillankatu,012,Kanavaranta,1225,457
2021-07-31T23:37:07,2021-07-31T23:44:26,002,Laivasillankatu,012,Kanavaranta,1188,434
2021-07-31T23:36:59,2021-07-31T23:44:16,555,Kalevalantie,519,Tapionaukio,1221,435
2021-07-31T23:36:47,2021-08-01T11:04:51,573,Urheilupuisto (M),575,Tontunmäentie,604,41278
2021-07-31T23:36:43,2021-07-31T23:40:05,213,Huopalahden asema,211,Haagan tori,851,197
2021-07-31T23:36:40,2021-07-31T23:45:17,016,Liisanpuistikko,040,Hakaniemi (M),1070,512
2021-07-31T23:36:32,2021-07-31T23:41:26,517,Länsituuli,515,Oravannahkatori,690,290
2021-07-31T23:36:31,2021-07-31T23:39:01,259,Petter Wetterin tie,256,Herttoniemenranta,598,150
2021-07-31T23:36:27,2021-07-31T23:46:25,579,Niittymaa,557,Louhentori,2387,596
2021-07-31T23:36:23,2021-07-31T23:43:24,307,Ulappasilta,320,Koukkusaarentie,996,417
2021-07-31T23:36:17,2021-07-31T23:42:07,307,Ulappasilta,320,Koukkusaarentie,1010,345
2021-07-31T23:36:05,2021-07-31T23:49:04,076,Olympiastadion,087,Kustaankatu,2193,774
2021-07-31T23:35:45,2021-07-31T23:48:16,030,Itämerentori,054,Gyldenintie,2636,746
2021-07-31T23:35:44,2021-07-31T23:39:10,368,Pukinmäen liikuntapuisto,369,Pukinmäen asema,520,201
2021-07-31T23:35:41,2021-07-31T23:41:02,625,Suomenlahdentie,641,Komeetankatu,1006,317
2021-07-31T23:35:35,2021-07-31T23:54:11,021,Töölönlahdenkatu,132,Hollolantie,3614,1112
2021-07-31T23:35:19,2021-07-31T23:51:40,022,Rautatientori / länsi,061,Länsisatamankatu,3540,980
2021-07-31T23:35:18,2021-07-31T23:42:32,008,Vanha kirkkopuisto,015,Ritarikatu,1323,430
2021-07-31T23:35:13,2021-07-31T23:43:38,621,Hauenkalliontie,583,Haukilahdensolmu,1345,501
2021-07-31T23:35:12,2021-07-31T23:45:30,023,Kiasma,075,Korjaamo,3034,614
2021-07-31T23:35:11,2021-07-31T23:49:39,021,Töölönlahdenkatu,061,Länsisatamankatu,2983,866
2021-07-31T23:34:49,2021-07-31T23:44:17,039,Ooppera,024,Mannerheimintie,1611,564
2021-07-31T23:34:46,2021-07-31T23:37:46,145,Pohjolankatu,146,Pohjolanaukio,722,176
2021-07-31T23:34:46,2021-07-31T23:40:17,024,Mannerheimintie,012,Kanavaranta,1129,327
2021-07-31T23:34:42,2021-07-31T23:46:19,019,Rautatientori / itä,062,Välimerenkatu,2564,692
2021-07-31T23:34:30,2021-07-31T23:48:58,205,Ilmalan asema,218,Pohjois-Haagan asema,3789,864
2021-07-31T23:34:30,2021-07-31T23:39:02,113,Pasilan asema,131,Elimäenkatu,980,269
2021-07-31T23:34:11,2021-07-31T23:49:58,071,Hietaniemenkatu,026,Kamppi (M),1547,941
2021-07-31T23:34:09,2021-07-31T23:36:11,078,Messeniuksenkatu,077,Nordenskiöldinaukio,319,124
2021-07-31T23:34:01,2021-07-31T23:37:12,561,Koivu-Mankkaa,571,Tapiolan urheilupuisto,692,187
2021-07-31T23:34:00,2021-07-31T23:37:57,366,Tilketori,368,Pukinmäen liikuntapuisto,784,232
2021-07-31T23:33:59,2021-07-31T23:58:54,142,Koskelantie,008,Vanha kirkkopuisto,6546,1491
2021-07-31T23:33:58,2021-07-31T23:50:26,162,Leppäsuonaukio,142,Koskelantie,3606,987
2021-07-31T23:33:55,2021-07-31T23:53:00,753,Linnuntie,214,Valimon asema,4608,1140
2021-07-31T23:33:43,2021-08-01T00:02:14,112,Rautatieläisenkatu,377,Paloheinän maja,6516,1706
2021-07-31T23:33:36,2021-07-31T23:39:00,387,Kauppakeskus Kaari,387,Kauppakeskus Kaari,612,320
2021-07-31T23:33:35,2021-07-31T23:50:30,056,Luoteisväylä,028,Lastenlehto,4235,1011
2021-07-31T23:33:34,2021-07-31T23:53:34,753,Linnuntie,214,Valimon asema,4663,1194
2021-07-31T23:33:34,2021-07-31T23:41:58,048,Mastokatu,016,Liisanpuistikko,1388,499
